yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2022,kontenjan_2023,kontenjan_2024,taban_2022,taban_2023,taban_2024,tavan_2022,tavan_2023,tavan_2024,tavan_bs_2022,tavan_bs_2023,tavan_bs_2024,tbs_2022,tbs_2023,tbs_2024,yerlesen_2022,yerlesen_2023,yerlesen_2024,has_2022,has_2023,has_2024,years_with_data
201410665,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,20.0,25.0,42.0,"320,64995","316,21226","293,13051","400,91968","392,81187","338,88866",105.052,119.861,167.901,236.967,272.421,288.870,20.0,25.0,16.0,True,True,True,3
201490082,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,5.0,6.0,6.0,"412,28963","443,99620","372,86904","473,48810","470,83193","427,04272",5.321,6.496,14.834,19.658,12.471,36.174,5.0,5.0,5.0,True,True,True,3
201490083,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,20.0,25.0,25.0,"247,83045","149,26680","197,50647","381,09595","387,25155","306,22832",30.605,33.679,69.603,86.471,153.746,141.087,20.0,22.0,8.0,True,True,True,3
201490091,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,10.0,7.0,10.0,"424,99152","453,12652","434,12124","459,64032","464,20062","457,17327",7.626,7.714,7.238,15.782,10.122,12.706,10.0,6.0,9.0,True,True,True,3
201490092,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,30.0,34.0,51.0,"332,25649","335,83386","178,04380","415,14477","405,96034","409,90926",18.756,25.900,20.679,49.289,56.597,149.571,30.0,34.0,37.0,True,True,True,3
201490093,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,İşletme,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10.0,7.0,7.0,"329,56161","339,35408","332,10337","341,34817","349,07081","336,85705",205.251,164.409,166.449,251.459,200.046,183.736,10.0,5.0,6.0,True,True,True,3
201490094,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,İşletme,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,20.0,34.0,34.0,"261,85152","179,88220","209,36678","319,11406","300,70062","307,78591",299.869,407.624,300.858,739.853,1.793.494,1.393.999,20.0,26.0,34.0,True,True,True,3
201490095,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,15.0,5.0,7.0,"332,63275","349,44117","334,71774","368,23062","367,07806","343,11148",125.059,111.896,146.232,238.741,163.164,173.954,15.0,5.0,6.0,True,True,True,3
201490098,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Yazılım Mühendisliği,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,10.0,10.0,12.0,"457,40055","461,08856","377,83026","473,70336","477,12356","437,34671",36.699,34.832,48.247,50.172,48.356,107.952,10.0,9.0,11.0,True,True,True,3
201490099,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Yazılım Mühendisliği,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,40.0,40.0,40.0,"380,11468","394,48938","295,70872","443,76303","429,70025","399,90035",62.103,77.507,82.775,130.158,117.672,279.675,40.0,40.0,17.0,True,True,True,3
201490108,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,6.0,7.0,7.0,"412,74090","417,69222","432,07968","486,98634","420,91686","459,92097",480.0,8.490,2.1,13.522,9.895,8.075,6.0,7.0,7.0,True,True,True,3
201490136,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Hukuk Fakültesi,Hukuk,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,,127.0,123.0,,"374,48347","353,72027",,"414,44870","408,17074",,26.042,26.261,,94.175,116.272,,127.0,123.0,False,True,True,2
201490143,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,,21.0,34.0,,"218,87699","186,27684",,"317,53848","271,15983",,302.471,590.078,,1.301.950,1.638.131,,21.0,18.0,False,True,True,2
201490157,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Bilim Tarihi,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,,7.0,12.0,,"190,23501","199,97186",,"221,87595","263,59667",,1.258.969,669.395,,1.694.065,1.511.212,,3.0,4.0,False,True,True,2
