lise_adi,sehir,lise_id
FEVZİ ÖZAKAT ANADOLU LİSESİ (İZMİR - KARABAĞLAR),İZMİR,0
MEHMET ORHUN YAYLACI ANADOLU LİSESİ (ADANA - CEYHAN),ADANA,1
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),,2
MARMARİS NURETTİN GENÇALİOĞLU ANADOLU LİSESİ (MUĞLA - MARMARİS),MUĞLA,3
ÖZEL BAŞARAN ANADOLU LİSESİ (KIRIKKALE - MERKEZ),KIRIKKALE,4
ÖZEL ERDEMLİ FİNAL ANADOLU LİSESİ (MERSİN - ERDEMLİ),MERSİN,5
ÖZEL TEK YÖNTEM KOLEJİ ANADOLU LİSESİ (MERSİN - YENİŞEHİR),MERSİN,6
PATNOS ALPARSLAN ANADOLU LİSESİ (AĞRI - PATNOS),AĞRI,7
VALİ AYDIN ARSLAN FEN LİSESİ (DİYARBAKIR - SUR),DİYARBAKIR,8
1. KILIÇARSLAN FEN LİSESİ (DİYARBAKIR - SİLVAN),DİYARBAKIR,9
ABDÜLHAMİD HAN ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,10
AHMED ARİF ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,11
ATATÜRK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,12
BAĞLAR ANADOLU LİSESİ (DİYARBAKIR - BAĞLAR),DİYARBAKIR,13
BATMAN LİSESİ (BATMAN - MERKEZ),BATMAN,14
BAYKAN ANADOLU LİSESİ (SİİRT - BAYKAN),SİİRT,15
BİTLİS LİSESİ (BİTLİS - MERKEZ),BİTLİS,16
BORSA İSTANBUL KIZ ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,17
BURHANETTİN YILDIZ MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - BAĞLAR),DİYARBAKIR,18
CUMHURİYET ANADOLU LİSESİ (VAN - İPEKYOLU),VAN,19
CUMHURİYET MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,20
FATİH ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,21
GAZİ ANADOLU İMAM HATİP LİSESİ (BATMAN - MERKEZ),BATMAN,22
GÜLTEPE ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,23
HABUR ANADOLU LİSESİ (ŞIRNAK - SİLOPİ),ŞIRNAK,24
HACI MAHMUT YAVUZ ANADOLU LİSESİ (ŞANLIURFA - SURUÇ),ŞANLIURFA,25
HAKKARİ ANADOLU LİSESİ (HAKKARİ - MERKEZ),HAKKARİ,26
IRLIGANLI ANADOLU LİSESİ (DENİZLİ - PAMUKKALE),DENİZLİ,27
KAYAPINAR YUNUS EMRE ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,28
KOZLUK MERKEZ ANADOLU LİSESİ (BATMAN - KOZLUK),BATMAN,29
KURTALAN MESLEKİ VE TEKNİK ANADOLU LİSESİ (SİİRT - KURTALAN),SİİRT,30
KÜLTÜR MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,31
MALABADİ MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,32
MEHMET AKİF NUHOĞLU ANADOLU LİSESİ (MARDİN - ARTUKLU),MARDİN,33
MEHMET ŞİMŞEK ANADOLU İMAM HATİP LİSESİ (BATMAN - MERKEZ),BATMAN,34
MESLEKİ AÇIKÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),,35
MİTHAT PAŞA MESLEKİ VE TEKNİK ANADOLU LİSESİ (ŞIRNAK - CİZRE),ŞIRNAK,36
MURADİYE MESLEKİ VE TEKNİK ANADOLU LİSESİ (VAN - MURADİYE),VAN,37
MUTKİ ANADOLU LİSESİ (BİTLİS - MUTKİ),BİTLİS,38
OSMAN SAYIN ANADOLU LİSESİ (GAZİANTEP - NİZİP),GAZİANTEP,39
ÖMERLİ MEHMET KAVAK ANADOLU LİSESİ (MARDİN - ÖMERLİ),MARDİN,40
ÖZEL BATMAN ÇÖZÜM MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,41
ÖZEL BATMAN ORTADOĞU PETROL ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,42
ÖZEL BATMAN UĞUR TEMEL LİSESİ (BATMAN - MERKEZ),BATMAN,43
ÖZEL BOSB BİLİM TEKNİK MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - BEŞİRİ),BATMAN,44
ÖZEL VİRANŞEHİR FİNAL AKADEMİ ANADOLU LİSESİ (ŞANLIURFA - VİRANŞEHİR),ŞANLIURFA,45
ÖZEL VİRANŞEHİR UĞUR TEMEL LİSESİ (ŞANLIURFA - VİRANŞEHİR),ŞANLIURFA,46
ÖZEL YAKUT AÇI TEMEL LİSESİ (BATMAN - MERKEZ),BATMAN,47
ÖZEL YÜKSEKOVA TEMEL LİSESİ (HAKKARİ - YÜKSEKOVA),HAKKARİ,48
PETROL ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,49
PİRİ REİS MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,50
PİRİNÇLİ ÇOK PROGRAMLI ANADOLU LİSESİ (ŞIRNAK - BEYTÜŞŞEBAP),ŞIRNAK,51
RAMAN ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,52
SAADET UÇAR ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,53
SASON ANADOLU LİSESİ (BATMAN - SASON),BATMAN,54
SELAHADDİN EYYUBİ ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,55
SÜLEYMAN DEMİREL MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - BAĞLAR),DİYARBAKIR,56
ŞANLIURFA ANADOLU İMAM HATİP LİSESİ (ŞANLIURFA - HALİLİYE),ŞANLIURFA,57
ŞEHİT MAHMUT EŞİT ANADOLU İMAM HATİP LİSESİ (MARDİN - DERİK),MARDİN,58
ŞEHİT ÖMER HALİSDEMİR ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,59
ŞEHİT ŞENAY AYBÜKE YALÇIN MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - KOZLUK),BATMAN,60
YAHYA KEMAL BEYATLI ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,61
YENİŞEHİR MESLEKİ VE TEKNİK ANADOLU LİSESİ (ŞIRNAK - SİLOPİ),ŞIRNAK,62
YUNUS EMRE MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - BEŞİRİ),BATMAN,63
ZEYTİN DALI ANADOLU LİSESİ (ŞANLIURFA - KARAKÖPRÜ),ŞANLIURFA,64
ZÜBEYDE HANIM MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,65
100. YIL ANADOLU LİSESİ (IĞDIR - TUZLUCA),IĞDIR,66
ABDULKADİR PAKSOY ANADOLU LİSESİ (ADANA - SEYHAN),ADANA,67
ADANA MESLEKİ VE TEKNİK ANADOLU LİSESİ (ADANA - SEYHAN),ADANA,68
AHMEDİ HANİ ANADOLU İMAM HATİP LİSESİ (BATMAN - MERKEZ),BATMAN,69
AHMEDİ HANİ ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,70
ATATÜRK MESLEKİ VE TEKNİK ANADOLU LİSESİ (ORDU - FATSA),ORDU,71
BAĞIVAR ÇOK PROGRAMLI ANADOLU LİSESİ (DİYARBAKIR - SUR),DİYARBAKIR,72
