yop_kodu,year,ortalama_tercih_edilme_sirasi_A,ortalama_yerlesen_tercih_sirasi_B,marka_etkinlik_degeri_A_div_B
101710027,2022,9.8,6.5,1.51
101710027,2023,10.7,4.0,2.67
101710027,2024,15.6,15.9,0.98
101710081,2022,10.0,4.2,2.38
101710081,2023,9.6,5.1,1.88
101710081,2024,9.2,3.6,2.56
101710099,2022,9.7,6.2,1.56
101710099,2023,9.5,6.3,1.51
101710099,2024,10.4,6.3,1.65
101710115,2022,10.0,5.8,1.72
101710115,2023,9.5,4.4,2.16
101710115,2024,9.5,5.1,1.86
101710124,2022,8.5,4.7,1.81
101710124,2023,8.2,5.0,1.64
101710124,2024,9.1,5.2,1.75
101710133,2022,11.8,5.9,2.0
101710133,2023,7.8,4.1,1.9
101710133,2024,12.0,7.1,1.69
101710178,2022,10.2,4.2,2.43
101710178,2023,9.1,3.7,2.46
101710178,2024,8.9,3.3,2.7
101710266,2022,10.3,5.6,1.84
101710266,2023,8.8,3.3,2.67
101710266,2024,9.3,3.2,2.91
101710293,2022,8.6,3.9,2.21
101710293,2023,9.2,3.7,2.49
101710293,2024,9.3,4.6,2.02
101710309,2022,9.1,4.1,2.22
101710309,2023,9.1,4.0,2.27
101710309,2024,10.8,7.5,1.44
101710318,2022,9.9,4.3,2.3
101710318,2023,8.0,2.9,2.76
101710318,2024,7.9,2.9,2.72
101710336,2022,14.2,11.4,1.25
101710336,2023,13.6,10.9,1.25
101710336,2024,14.2,10.2,1.39
101790100,2022,8.4,4.2,2.0
101790100,2023,9.3,4.4,2.11
101790100,2024,9.6,6.9,1.39
101790103,2022,11.7,6.9,1.7
101790103,2023,10.6,5.6,1.89
101790103,2024,10.1,10.9,0.93
101790111,2022,9.0,6.4,1.41
101790111,2023,8.3,2.3,3.61
101790111,2024,10.1,2.1,4.81
101790113,2022,8.0,2.6,3.08
101790113,2023,7.9,2.3,3.43
101790113,2024,7.3,2.5,2.92
101790114,2022,7.3,2.8,2.61
101790114,2023,5.5,1.7,3.24
101790114,2024,6.4,3.1,2.06
101790135,2022,9.7,6.3,1.54
101790135,2023,10.0,4.6,2.17
101790135,2024,10.2,4.8,2.12
101790163,2022,13.0,8.4,1.55
101790163,2023,13.4,8.3,1.61
101790163,2024,10.4,10.4,1.0
101790170,2022,9.4,5.6,1.68
101790170,2023,9.1,4.6,1.98
101790170,2024,9.3,5.1,1.82
101790177,2022,10.1,5.5,1.84
101790177,2023,10.8,7.8,1.38
101790177,2024,10.3,6.0,1.72
101790184,2023,10.3,13.0,0.79
101790184,2024,12.2,15.5,0.79
102610016,2022,11.4,5.2,2.19
102610016,2023,11.4,12.6,0.9
102610016,2024,11.4,15.7,0.73
102610025,2022,12.3,8.6,1.43
102610025,2023,11.8,8.0,1.48
102610034,2022,9.3,5.1,1.82
102610034,2023,8.6,4.4,1.95
102610034,2024,13.3,8.2,1.62
102610052,2022,9.6,4.0,2.4
102610052,2023,9.2,6.6,1.39
102610052,2024,10.3,5.4,1.91
102610061,2022,9.8,4.8,2.04
102610061,2023,9.2,6.8,1.35
102610061,2024,9.6,7.0,1.37
102610079,2022,10.3,6.2,1.66
102610079,2023,10.5,8.1,1.3
102610079,2024,9.7,4.5,2.16
102610088,2022,10.4,5.8,1.79
102610088,2023,10.4,9.6,1.08
102610088,2024,9.8,5.1,1.92
102610097,2022,11.9,8.7,1.37
102610097,2023,10.5,7.9,1.33
102610097,2024,10.1,10.8,0.94
102610113,2022,12.0,9.6,1.25
102610113,2023,11.0,8.3,1.33
102610113,2024,11.1,10.7,1.04
102610122,2022,10.0,5.7,1.75
102610122,2023,9.9,7.6,1.3
102610122,2024,10.2,9.1,1.12
102610131,2022,12.1,8.7,1.39
102610131,2023,12.7,11.5,1.1
102610131,2024,11.5,11.6,0.99
102610149,2022,10.8,6.8,1.59
