yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
100210132,793.0,294.0,412.0,455.0,450.0,332.0,15.0,9.0,13.0
100210141,889.0,269.0,413.0,599.0,475.0,283.0,14.0,9.0,14.0
100210168,3208.0,2292.0,2160.0,632.0,108.0,240.0,20.0,23.0,22.0
100210177,140.0,192.0,115.0,364.0,312.0,389.0,7.0,9.0,5.0
100210186,884.0,267.0,262.0,844.0,597.0,338.0,12.0,7.0,10.0
100210195,591.0,378.0,582.0,393.0,366.0,402.0,14.0,12.0,14.0
100210202,401.0,320.0,495.0,343.0,424.0,369.0,13.0,10.0,14.0
100210283,658.0,253.0,439.0,782.0,707.0,689.0,11.0,6.0,9.0
100210308,57.0,104.0,79.0,87.0,136.0,137.0,10.0,10.0,9.0
100210317,403.0,277.0,467.0,341.0,467.0,277.0,13.0,9.0,15.0
100210326,156.0,64.0,66.0,84.0,80.0,54.0,16.0,11.0,13.0
100210353,1396.0,859.0,865.0,524.0,101.0,95.0,17.0,21.0,22.0
100210362,1555.0,932.0,836.0,365.0,28.0,124.0,19.0,23.0,21.0
100290057,1002.0,479.0,546.0,486.0,265.0,198.0,16.0,15.0,18.0
100290058,279.0,363.0,580.0,465.0,381.0,284.0,9.0,12.0,16.0
100290059,666.0,759.0,667.0,318.0,225.0,461.0,16.0,19.0,14.0
100290060,75.0,38.0,3.0,45.0,58.0,21.0,15.0,10.0,3.0
100290069,773.0,218.0,378.0,667.0,502.0,222.0,13.0,7.0,15.0
100290086,818.0,277.0,754.0,670.0,587.0,494.0,13.0,8.0,15.0
100290088,460.0,347.0,418.0,284.0,397.0,302.0,15.0,11.0,14.0
100290095,756.0,739.0,776.0,228.0,245.0,352.0,18.0,18.0,17.0
100290165,,,673.0,,,47.0,,,22.0
100290172,,,606.0,,,114.0,,,20.0
100290179,,,412.0,,,308.0,,,14.0
100410015,1112.0,1024.0,835.0,328.0,416.0,365.0,19.0,17.0,17.0
100410024,890.0,825.0,872.0,310.0,375.0,328.0,18.0,17.0,17.0
100410033,715.0,749.0,766.0,509.0,475.0,482.0,14.0,15.0,15.0
100410042,766.0,789.0,882.0,434.0,411.0,342.0,15.0,16.0,17.0
100410069,940.0,835.0,758.0,548.0,653.0,490.0,15.0,13.0,15.0
100410078,1220.0,1105.0,1123.0,268.0,383.0,485.0,20.0,18.0,17.0
100410103,358.0,467.0,464.0,146.0,157.0,160.0,17.0,18.0,18.0
100410112,974.0,1019.0,820.0,514.0,469.0,428.0,16.0,16.0,16.0
100410121,1053.0,710.0,477.0,435.0,778.0,507.0,17.0,11.0,12.0
100410139,1352.0,1236.0,386.0,616.0,732.0,358.0,16.0,15.0,12.0
100410148,1046.0,1080.0,481.0,682.0,648.0,263.0,15.0,15.0,16.0
100410157,1001.0,730.0,851.0,487.0,758.0,637.0,16.0,12.0,14.0
100410166,1166.0,944.0,971.0,322.0,544.0,517.0,19.0,15.0,16.0
100410175,871.0,682.0,1117.0,617.0,806.0,851.0,14.0,11.0,14.0
100410184,968.0,759.0,703.0,520.0,729.0,785.0,16.0,12.0,11.0
100410193,1359.0,1297.0,1351.0,609.0,671.0,881.0,17.0,16.0,15.0
100410218,31.0,14.0,38.0,41.0,34.0,34.0,10.0,7.0,13.0
100410236,65.0,30.0,31.0,31.0,66.0,65.0,16.0,8.0,8.0
100410324,1307.0,1169.0,1151.0,613.0,751.0,1009.0,16.0,15.0,13.0
100410493,368.0,450.0,602.0,112.0,174.0,142.0,18.0,17.0,19.0
100410563,,,36.0,,,12.0,,,18.0
100410572,,,329.0,,,79.0,,,19.0
100410599,238.0,340.0,430.0,74.0,164.0,74.0,18.0,16.0,20.0
100410615,497.0,893.0,892.0,175.0,235.0,356.0,18.0,19.0,17.0
100410624,58.0,113.0,288.0,38.0,79.0,120.0,15.0,14.0,17.0
100410633,415.0,592.0,1128.0,185.0,248.0,360.0,17.0,17.0,18.0
100410651,1207.0,1216.0,1209.0,401.0,392.0,399.0,18.0,18.0,18.0
100410669,168.0,272.0,260.0,72.0,88.0,100.0,17.0,18.0,17.0
100410678,855.0,814.0,238.0,345.0,386.0,194.0,17.0,16.0,13.0
100410687,522.0,493.0,13.0,222.0,251.0,35.0,17.0,16.0,7.0
100410696,173.0,99.0,99.0,43.0,45.0,45.0,19.0,17.0,17.0
100410712,687.0,745.0,838.0,297.0,239.0,290.0,17.0,18.0,18.0
100410784,836.0,852.0,591.0,604.0,612.0,489.0,14.0,14.0,13.0
100410809,1027.0,917.0,782.0,461.0,571.0,442.0,17.0,15.0,15.0
100410818,443.0,623.0,742.0,301.0,361.0,386.0,14.0,15.0,16.0
100410827,722.0,672.0,850.0,718.0,768.0,710.0,12.0,11.0,13.0
