yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2022,kontenjan_2023,kontenjan_2024,taban_2022,taban_2023,taban_2024,tavan_2022,tavan_2023,tavan_2024,tavan_bs_2022,tavan_bs_2023,tavan_bs_2024,tbs_2022,tbs_2023,tbs_2024,yerlesen_2022,yerlesen_2023,yerlesen_2024,has_2022,has_2023,has_2024,years_with_data
202210341,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Arapça Mütercim ve Tercümanlık,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,21.0,34.0,42.0,"309,13199","271,42359","273,69268","434,37310","406,18078","382,03632",13.159,25.835,32.04,58.759,90.248,88.439,21.0,34.0,42.0,True,True,True,3
202210342,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,4.0,8.0,11.0,"481,65364","470,71253","460,36621","513,23429","492,43151","483,25517",1.267,3.417,3.383,4.272,6.513,6.617,4.0,7.0,10.0,True,True,True,3
202210343,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,21.0,34.0,55.0,"388,91288","395,42124","375,22168","436,44077","438,54955","435,71542",12.623,14.116,12.236,27.750,30.238,35.127,21.0,34.0,55.0,True,True,True,3
202210344,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,6.0,11.0,10.0,"438,68392","396,37066","370,15717","467,99585","467,01354","403,19778",6.164,7.187,23.25,12.079,29.817,37.413,6.0,11.0,9.0,True,True,True,3
202210345,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,34.0,51.0,51.0,"209,36586","191,13679","214,86628","433,65324","386,05031","360,39565",13.358,34.197,41.989,106.155,141.520,129.458,34.0,51.0,51.0,True,True,True,3
202210346,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Bilgi ve Belge Yönetimi,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,3.0,4.0,6.0,"309,66151","331,89846","278,48221","336,14771","344,89522","309,68025",224.655,178.897,289.65,350.362,231.226,519.771,3.0,4.0,5.0,True,True,True,3
202210347,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Bilgi ve Belge Yönetimi,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,17.0,17.0,25.0,"244,04146","247,39642","214,21106","292,27250","313,12213","315,11128",463.581,327.731,259.667,952.770,917.410,1.328.065,17.0,17.0,10.0,True,True,True,3
202210348,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,7.0,9.0,11.0,"450,03226","440,65025","422,89676","481,77749","459,86756","433,39522",4.252,8.56,12.909,9.469,13.441,16.158,7.0,8.0,10.0,True,True,True,3
202210349,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,38.0,38.0,55.0,"344,63542","365,15008","350,86987","421,26610","423,52726","410,45112",16.821,19.146,20.488,44.366,43.296,46.624,38.0,38.0,55.0,True,True,True,3
202210350,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Yönetim Bilişim Sistemleri,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,7.0,10.0,9.0,"384,52131","388,82402","380,74604","407,36569","410,82485","401,12547",45.278,30.305,33.201,87.589,64.119,60.547,7.0,9.0,8.0,True,True,True,3
202210351,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Yönetim Bilişim Sistemleri,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,38.0,42.0,42.0,"309,34715","325,12471","319,25415","367,22027","375,70383","362,25471",127.611,91.419,95.67,352.156,263.273,238.853,38.0,42.0,42.0,True,True,True,3
202210358,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Sınıf Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,5.0,11.0,9.0,"379,31378","374,74458","364,34328","398,16657","380,81783","372,09991",60.783,80.143,75.501,98.885,93.591,91.044,5.0,10.0,8.0,True,True,True,3
202210365,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Sınıf Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,25.0,51.0,42.0,"350,78674","347,13906","336,16781","374,61968","367,92663","360,49449",109.609,109.751,99.76,173.912,171.014,168.810,25.0,51.0,42.0,True,True,True,3
202210372,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,6.0,11.0,9.0,"426,59348","428,26706","434,90418","442,12357","449,53406","447,93820",3.701,2.102,3.775,7.397,5.947,7.101,6.0,11.0,9.0,True,True,True,3
202210379,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,34.0,51.0,42.0,"379,89097","386,04865","411,95808","412,36578","409,29208","424,54534",13.727,14.439,11.535,46.224,35.989,19.950,34.0,51.0,42.0,True,True,True,3
202210386,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,İngilizce Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,6.0,11.0,10.0,"453,64406","436,71732","433,12730","467,36665","481,76458","458,24987",6.261,4.803,7.027,8.758,14.650,12.974,6.0,11.0,9.0,True,True,True,3
202210393,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,İngilizce Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,34.0,51.0,51.0,"384,85246","388,13273","384,07095","430,60735","425,93569","428,31322",14.197,18.302,14.424,29.245,33.276,31.141,34.0,51.0,51.0,True,True,True,3
202210400,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,İlköğretim Matematik Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,6.0,11.0,9.0,"404,43009","405,23654","295,18131","428,43961","429,85794","341,30770",76.361,77.333,163.197,101.166,104.264,281.620,6.0,10.0,7.0,True,True,True,3
202210407,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,İlköğretim Matematik Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,34.0,51.0,42.0,"330,44676","336,15678","292,15451","403,49748","403,76892","338,13499",102.17,106.04,169.33,214.382,218.891,292.357,34.0,51.0,16.0,True,True,True,3
