yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,yerlesen_2025,taban_2025,tbs_2025,tavan_2025,tavan_bs_2025,has_2025
201910078,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Psikoloji,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,9,9,"260,37106",691.654,"285,23898",456.593,True
201990825,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Yönetim Bilişim Sistemleri,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,16,16,"243,14726",886.828,"291,24591",409.564,True
201990526,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Psikoloji,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,7,7,"251,64687",787.980,"268,22753",610.449,True
201990867,HALİÇ ÜNİVERSİTESİ,Mimarlık Fakültesi,İç Mimarlık ve Çevre Tasarımı,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,41,41,"265,33718",639.661,"323,60412",219.810,True
201990818,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Uluslararası Ticaret ve İşletmecilik,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,59,59,"242,67629",892.323,"308,56105",295.717,True
201910748,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,60,60,"236,67632",963.360,"319,45151",238.702,True
201990860,HALİÇ ÜNİVERSİTESİ,Mimarlık Fakültesi,İç Mimarlık ve Çevre Tasarımı,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,13,13,"231,29634",1.027.049,"258,44742",712.313,True
201910669,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,54,54,"243,94989",877.314,"323,38993",220.786,True
201990811,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Uluslararası Ticaret ve İşletmecilik,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,8,8,"211,90758",1.243.324,"231,19435",1.028.288,True
201910121,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,8,8,"215,41488",1.206.646,"239,24310",932.915,True
201910148,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,8,8,"210,70784",1.255.374,"245,97245",853.668,True
201910633,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,4,3,Dolmadı,Dolmadı,"196,96440",1.378.367,True
201991609,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Ekonomi,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,29,14,Dolmadı,Dolmadı,"307,62073",301.024,True
201991602,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Ekonomi,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,5,3,Dolmadı,Dolmadı,"221,18206",1.143.567,True
201991595,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Ekonomi,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,7,7,"333,63919",178.788,"336,16056",169.642,True
201990385,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Grafik Tasarımı,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,45,8,Dolmadı,Dolmadı,"278,92321",510.354,True
201991105,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Grafik Tasarımı,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,6,4,Dolmadı,Dolmadı,"245,29351",861.591,True
201990225,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Grafik Tasarımı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,9,"319,00390",240.854,"337,99695",163.261,True
201991616,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Lojistik Yönetimi,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,7,6,"334,37164",176.139,"343,30606",145.441,True
201991623,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Lojistik Yönetimi,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,7,0,Dolmadı,Dolmadı,0,,True
201991630,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Lojistik Yönetimi,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,27,13,Dolmadı,Dolmadı,"282,09516",482.813,True
201910703,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,43,24,Dolmadı,Dolmadı,"279,68003",503.717,True
201991042,HALİÇ ÜNİVERSİTESİ,Spor Bilimleri Fakültesi,Spor Yöneticiliği,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,35,3,Dolmadı,Dolmadı,"285,03390",458.263,True
201991077,HALİÇ ÜNİVERSİTESİ,Spor Bilimleri Fakültesi,Spor Yöneticiliği,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,7,2,Dolmadı,Dolmadı,"244,92820",865.903,True
201991112,HALİÇ ÜNİVERSİTESİ,Spor Bilimleri Fakültesi,Spor Yöneticiliği,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,7,0,Dolmadı,Dolmadı,0,,True
201991119,HALİÇ ÜNİVERSİTESİ,Spor Bilimleri Fakültesi,Spor Yöneticiliği,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,9,8,"290,46864",415.380,"309,91904",288.077,True
201991126,HALİÇ ÜNİVERSİTESİ,Spor Bilimleri Fakültesi,Spor Yöneticiliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,12,12,"293,40745",393.746,"304,53757",319.316,True
201991154,HALİÇ ÜNİVERSİTESİ,Spor Bilimleri Fakültesi,Spor Yöneticiliği,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,52,13,Dolmadı,Dolmadı,"279,16065",508.245,True
201991070,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Tekstil ve Moda Tasarımı,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,6,0,Dolmadı,Dolmadı,0,,True
201990234,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Tekstil ve Moda Tasarımı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,9,"301,42047",338.864,"348,35866",130.031,True
201990394,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Tekstil ve Moda Tasarımı,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,45,12,Dolmadı,Dolmadı,"252,09316",782.915,True
201990513,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Gastronomi ve Mutfak Sanatları,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,13,11,"391,91321",11.580,"414,36621",4.083,True
201990511,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Çizgi Film ve Animasyon,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,11,9,"369,18289",29.250,"380,18262",18.953,True
201990528,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Görsel İletişim Tasarımı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,11,10,"373,00862",25.273,"386,81722",14.332,True
201910863,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Türk Dili ve Edebiyatı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,6,4,"354,84363",49.096,"362,43350",37.542,True
201910439,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Halkla İlişkiler ve Tanıtım,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,12,11,"358,39882",43.369,"371,74081",26.491,True
201990762,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Çizgi Film ve Animasyon,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,söz,56,12,Dolmadı,Dolmadı,"357,38079",44.954,True
201990790,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Gastronomi ve Mutfak Sanatları,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,söz,68,15,Dolmadı,Dolmadı,"353,18762",51.998,True
201990804,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Görsel İletişim Tasarımı,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,söz,55,11,Dolmadı,Dolmadı,"337,75215",86.218,True
201910696,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Halkla İlişkiler ve Tanıtım,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,söz,64,10,Dolmadı,Dolmadı,"300,33662",243.069,True
