yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
201410029,"17,8",9.0,"10,1",1.0,"20,0"
201410038,"1,9",17.0,"42,5",9.0,"100,0"
201410056,"1,9",17.0,"42,5",8.0,"88,9"
201410065,"15,0",11.0,"14,7",0.0,"0,0"
201410135,"2,5",15.0,"16,7",2.0,"33,3"
201410144,"14,9",24.0,"10,8",6.0,"40,0"
201410171,"38,9",55.0,"15,7",1.0,"12,5"
201410189,"3,6",51.0,"34,0",23.0,"82,1"
201410205,"27,2",14.0,"10,3",1.0,"20,0"
201410214,"1,6",10.0,"30,3",9.0,"100,0"
201410232,"13,9",76.0,"32,2",11.0,"73,3"
201410295,"22,3",77.0,"14,4",4.0,"19,0"
201410453,"4,8",29.0,"23,4",9.0,"36,0"
201410505,"1,4",67.0,"54,9",48.0,"76,2"
201410532,"19,7",20.0,"14,5",0.0,"0,0"
201410541,"1,6",28.0,"50,9",11.0,"100,0"
201410577,"10,2",9.0,"9,8",3.0,"37,5"
201410586,"1,0",25.0,"58,1",4.0,"80,0"
201410611,"15,0",33.0,"22,0",3.0,"30,0"
201410629,"2,6",76.0,"56,7",32.0,"88,9"
201410656,"23,7",16.0,"11,3",0.0,"0,0"
201410665,"2,5",29.0,"38,2",10.0,"76,9"
201490082,"22,2",36.0,"32,4",4.0,"80,0"
201490083,"2,0",15.0,"35,7",2.0,"50,0"
201490091,"15,6",18.0,"12,9",0.0,"0,0"
201490092,"3,4",54.0,"37,5",26.0,"78,8"
201490093,"29,0",14.0,"6,9",0.0,"0,0"
201490094,"6,1",61.0,"29,6",30.0,"88,2"
201490095,"17,4",9.0,"7,4",0.0,"0,0"
201490098,"55,0",67.0,"13,5",4.0,"50,0"
201490099,"2,8",42.0,"35,6",16.0,"88,9"
201490108,"32,8",48.0,"16,3",3.0,"33,3"
201490136,"5,6",339.0,"47,7",124.0,"97,6"
201490143,"2,0",25.0,"36,2",8.0,"88,9"
201490157,"1,8",3.0,"33,3",2.0,"66,7"
201490206,"4,6",51.0,"56,0",20.0,"100,0"
201490213,"6,8",90.0,"60,0",22.0,"100,0"
201490220,"32,0",27.0,"14,1",0.0,"0,0"
201490227,"9,2",120.0,"52,4",25.0,"100,0"
201490234,"27,7",50.0,"18,1",4.0,"44,4"
201490241,"3,4",59.0,"34,1",31.0,"86,1"
201490248,"3,7",32.0,"21,5",15.0,"78,9"
201490255,"19,1",31.0,"23,1",2.0,"33,3"
201490269,"2,0",26.0,"38,8",14.0,"93,3"
201490276,"10,5",35.0,"33,3",7.0,"77,8"
201490290,"1,9",38.0,"39,2",20.0,"95,2"
201490297,"14,8",23.0,"19,5",3.0,"42,9"
201490311,"4,8",55.0,"30,4",30.0,"78,9"
201490318,"9,4",24.0,"23,3",3.0,"33,3"
201490325,"0,8",11.0,"68,8",6.0,"85,7"
201490332,"19,0",29.0,"25,4",2.0,"40,0"
201490339,"1,3",16.0,"50,0",13.0,"86,7"
201490535,,,,,
201490528,,,,,
