yop_kodu,kullanilan_tercih_2025,bos_birakilan_tercih_2025,ortalama_kullanilan_tercih_2025
202210028,50.0,46.0,13.0
202210046,77.0,67.0,13.0
202210064,124.0,20.0,21.0
202210073,85.0,83.0,12.0
202210082,259.0,125.0,16.0
202210091,219.0,93.0,17.0
202210152,104.0,88.0,13.0
202210161,519.0,705.0,10.0
202210188,146.0,22.0,21.0
202210197,503.0,337.0,14.0
202210213,133.0,59.0,17.0
202210222,468.0,612.0,10.0
202210249,177.0,63.0,18.0
202210258,681.0,855.0,11.0
202210320,128.0,40.0,18.0
202210322,227.0,229.0,12.0
202210329,54.0,138.0,7.0
202210330,531.0,693.0,10.0
202210333,193.0,-1.0,24.0
202210334,627.0,597.0,12.0
202210335,107.0,85.0,13.0
202210336,315.0,213.0,14.0
202210338,429.0,171.0,17.0
202210339,2072.0,1024.0,16.0
202210340,63.0,153.0,7.0
202210341,450.0,870.0,8.0
202210342,107.0,109.0,12.0
202210343,534.0,786.0,10.0
202210344,138.0,54.0,17.0
202210345,269.0,187.0,14.0
202210346,112.0,-16.0,28.0
202210347,346.0,182.0,16.0
202210348,87.0,33.0,17.0
202210349,387.0,429.0,11.0
202210350,83.0,109.0,10.0
202210351,762.0,462.0,15.0
202210358,149.0,19.0,21.0
202210365,817.0,191.0,19.0
202210372,182.0,10.0,23.0
202210379,1230.0,-6.0,24.0
202210386,107.0,85.0,13.0
202210393,779.0,445.0,15.0
202210400,72.0,48.0,14.0
202210407,103.0,17.0,21.0
202210449,,,
202210442,,,
