yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,taban_2025,tavan_2025,tavan_bs_2025,tbs_2025,yerlesen_2025,has_2025
203211226,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Tarih,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,20,"164,56166","358,26061",43.566,1.172.061,8,True
203211165,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Tarih,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,6,"404,01144","423,61373",2.610,6.690,5,True
203211312,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Türk Dili ve Edebiyatı,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,30,"212,15026","327,38144",117.713,994.981,6,True
203211295,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Türk Dili ve Edebiyatı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,6,"356,77495","376,17977",22.336,45.918,5,True
203210485,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Türkçe Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,42,"294,86746","359,82470",41.192,277.191,32,True
203210449,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Türkçe Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,8,"378,51542","454,74800",589,20.294,8,True
203211292,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,Uluslararası Ticaret ve Finansman,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,49,"228,43909","313,96429",266.175,1.060.595,49,True
203211294,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,Uluslararası Ticaret ve Finansman,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,42,"245,17634","319,50514",238.441,863.010,42,True
203211291,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,Uluslararası Ticaret ve Finansman,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,11,"334,79801","350,57233",123.731,174.570,10,True
203211293,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,Uluslararası Ticaret ve Finansman,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,"343,91813","357,16919",106.205,143.528,9,True
