yop_kodu,kullanilan_tercih_2025,bos_birakilan_tercih_2025,ortalama_kullanilan_tercih_2025
201410029,72.0,24.0,18.0
201410038,83.0,133.0,9.0
201410056,130.0,86.0,14.0
201410065,71.0,25.0,18.0
201410135,119.0,25.0,20.0
201410144,229.0,59.0,19.0
201410171,136.0,32.0,19.0
201410189,364.0,308.0,13.0
201410205,74.0,22.0,19.0
201410214,107.0,109.0,12.0
201410232,129.0,207.0,9.0
201410295,290.0,190.0,15.0
201410453,527.0,49.0,22.0
201410505,826.0,686.0,13.0
201410532,71.0,49.0,14.0
201410541,90.0,174.0,8.0
201410577,181.0,-13.0,26.0
201410586,79.0,41.0,16.0
201410611,111.0,81.0,14.0
201410629,438.0,426.0,12.0
201410656,60.0,36.0,15.0
201410665,177.0,135.0,14.0
201490082,61.0,35.0,15.0
201490083,69.0,27.0,17.0
201490091,101.0,67.0,14.0
201490092,403.0,389.0,12.0
201490093,95.0,25.0,19.0
201490094,282.0,534.0,8.0
201490095,66.0,54.0,13.0
201490098,165.0,3.0,24.0
201490099,318.0,114.0,18.0
201490108,157.0,11.0,22.0
201490136,1935.0,1113.0,15.0
201490143,82.0,134.0,9.0
201490157,41.0,31.0,14.0
201490206,409.0,71.0,20.0
201490213,496.0,32.0,23.0
201490220,51.0,45.0,13.0
201490227,307.0,293.0,12.0
201490234,155.0,37.0,19.0
201490241,529.0,335.0,15.0
201490248,299.0,157.0,16.0
201490255,101.0,19.0,20.0
201490269,216.0,144.0,14.0
201490276,122.0,70.0,15.0
201490290,272.0,232.0,13.0
201490297,92.0,52.0,15.0
201490311,537.0,375.0,14.0
201490318,188.0,28.0,21.0
201490325,71.0,97.0,10.0
201490332,45.0,51.0,11.0
201490339,189.0,171.0,13.0
201490535,,,
201490528,,,
