yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
202210028,"8,2",14.0,"28,6",4.0,"100,0"
202210046,"10,0",12.0,"15,0",5.0,"71,4"
202210064,"9,1",10.0,"13,7",3.0,"50,0"
202210073,"0,6",10.0,"55,6",6.0,"85,7"
202210082,"1,2",16.0,"35,6",11.0,"68,8"
202210091,"1,8",26.0,"38,2",11.0,"84,6"
202210152,"12,4",32.0,"25,8",4.0,"44,4"
202210161,"2,9",77.0,"52,4",46.0,"90,2"
202210188,"12,9",29.0,"25,0",3.0,"37,5"
202210197,"2,4",52.0,"51,0",32.0,"91,4"
202210213,"15,4",35.0,"22,7",4.0,"44,4"
202210222,"2,5",66.0,"50,8",43.0,"95,6"
202210249,"23,1",63.0,"22,7",6.0,"50,0"
202210258,"3,7",120.0,"51,3",62.0,"96,9"
202210320,"11,2",13.0,"12,9",1.0,"12,5"
202210322,"1,5",32.0,"51,6",17.0,"89,5"
202210329,"31,5",159.0,"50,5",9.0,"100,0"
202210330,"3,7",107.0,"56,0",47.0,"92,2"
202210333,"16,5",38.0,"23,0",5.0,"55,6"
202210334,"2,1",59.0,"56,2",46.0,"90,2"
202210335,"15,9",33.0,"20,8",2.0,"22,2"
202210336,"1,9",50.0,"52,1",17.0,"77,3"
202210338,"15,5",72.0,"15,5",4.0,"15,4"
202210339,"3,1",168.0,"33,8",93.0,"72,1"
202210340,"14,4",81.0,"51,3",10.0,"100,0"
202210341,"1,8",67.0,"67,7",50.0,"90,9"
202210342,"14,2",39.0,"25,0",5.0,"50,0"
202210343,"3,8",118.0,"55,9",50.0,"90,9"
202210344,"11,4",42.0,"36,8",8.0,"88,9"
202210345,"1,5",48.0,"64,0",17.0,"89,5"
202210346,"46,2",59.0,"21,3",0.0,"0,0"
202210347,"1,6",28.0,"57,1",21.0,"95,5"
202210348,"29,9",29.0,"13,9",2.0,"33,3"
202210349,"4,5",75.0,"49,3",28.0,"82,4"
202210350,"17,2",37.0,"21,5",4.0,"44,4"
202210351,"4,1",106.0,"50,2",41.0,"80,4"
202210358,"20,3",53.0,"29,0",2.0,"25,0"
202210365,"2,8",80.0,"68,4",34.0,"81,0"
202210372,"27,6",61.0,"22,1",6.0,"66,7"
202210379,"5,4",165.0,"60,0",31.0,"60,8"
202210386,"21,4",58.0,"27,1",4.0,"44,4"
202210393,"3,9",130.0,"64,7",42.0,"82,4"
202210400,"25,4",21.0,"11,8",2.0,"33,3"
202210407,"0,3",2.0,"22,2",2.0,"40,0"
202210449,,,,,
202210442,,,,,
