yop_kodu,kullanilan_tercih_2025,bos_birakilan_tercih_2025,ortalama_kullanilan_tercih_2025
208610015,129.0,231.0,9.0
208610024,108.0,132.0,11.0
208610033,105.0,375.0,5.0
208610078,116.0,76.0,15.0
208610087,104.0,184.0,9.0
208610096,78.0,114.0,10.0
208610103,82.0,158.0,8.0
208610112,89.0,103.0,11.0
208610114,117.0,171.0,10.0
208610121,83.0,109.0,10.0
