yop_kodu,kullanilan_tercih_2025,bos_birakilan_tercih_2025,ortalama_kullanilan_tercih_2025
201990481,239.0,25.0,22.0
201990477,213.0,27.0,21.0
201990507,203.0,61.0,18.0
201990483,158.0,34.0,20.0
201990479,133.0,-13.0,27.0
201910218,61.0,11.0,20.0
201990475,117.0,51.0,17.0
201990559,108.0,12.0,22.0
201910306,203.0,85.0,17.0
201990515,205.0,35.0,21.0
201990496,135.0,57.0,17.0
201910103,57.0,39.0,14.0
201910324,173.0,67.0,17.0
201990505,72.0,120.0,9.0
201910351,217.0,23.0,22.0
201990487,70.0,50.0,14.0
201910387,112.0,32.0,19.0
201991014,941.0,595.0,15.0
201990972,754.0,518.0,14.0
201990944,490.0,638.0,10.0
201990846,376.0,704.0,8.0
201991007,207.0,225.0,12.0
201990986,359.0,385.0,12.0
201990769,107.0,-35.0,36.0
201991028,739.0,341.0,16.0
201990965,316.0,68.0,20.0
201991021,245.0,91.0,18.0
201990958,273.0,375.0,10.0
201990776,302.0,442.0,10.0
201990937,139.0,197.0,10.0
201990951,,,
201990874,,,
201990881,364.0,428.0,11.0
201991560,106.0,14.0,21.0
201991574,418.0,278.0,14.0
201991567,47.0,73.0,9.0
201990895,214.0,170.0,13.0
201990888,,,
201990902,,,
201990909,548.0,460.0,13.0
201990839,74.0,70.0,12.0
201990979,187.0,29.0,21.0
201991000,154.0,62.0,17.0
201990480,420.0,348.0,13.0
201990916,,,
201910527,168.0,168.0,12.0
201910606,201.0,207.0,12.0
201910042,138.0,30.0,20.0
201990741,302.0,346.0,11.0
201990734,,,
201910493,78.0,90.0,11.0
201910033,5.0,19.0,5.0
201990552,205.0,59.0,19.0
201990530,179.0,-59.0,36.0
201911119,493.0,59.0,21.0
201911094,367.0,17.0,23.0
201911085,189.0,27.0,21.0
201991581,,,
201990930,68.0,28.0,17.0
201990923,,,
201990499,175.0,65.0,18.0
201990501,176.0,64.0,18.0
201910087,301.0,-13.0,25.0
201910157,171.0,69.0,17.0
201990485,188.0,52.0,19.0
201990853,121.0,71.0,15.0
201910139,188.0,52.0,19.0
201910642,125.0,43.0,18.0
201910915,668.0,1060.0,9.0
201990832,378.0,654.0,9.0
201990527,594.0,774.0,10.0
201910078,72.0,144.0,8.0
201990825,150.0,234.0,9.0
201990526,101.0,67.0,14.0
201990867,362.0,622.0,9.0
201990818,545.0,871.0,9.0
201910748,593.0,847.0,10.0
201990860,147.0,165.0,11.0
201910669,607.0,689.0,11.0
201990811,65.0,127.0,8.0
201910121,173.0,19.0,22.0
201910148,95.0,97.0,12.0
201910633,135.0,-63.0,45.0
201991609,250.0,86.0,18.0
201991602,52.0,20.0,17.0
201991595,112.0,8.0,22.0
201990385,72.0,120.0,9.0
201991105,80.0,16.0,20.0
201990225,143.0,49.0,18.0
201991616,90.0,30.0,18.0
201991623,,,
201991630,150.0,162.0,12.0
201910703,289.0,287.0,12.0
201991042,38.0,34.0,13.0
201991077,41.0,7.0,21.0
201991112,,,
201991119,119.0,49.0,17.0
201991126,224.0,16.0,22.0
201991154,208.0,104.0,16.0
201991070,,,
201990234,110.0,82.0,14.0
201990394,150.0,138.0,13.0
201990513,133.0,107.0,13.0
201990511,137.0,79.0,15.0
201990528,218.0,-2.0,24.0
201910863,70.0,26.0,18.0
201910439,171.0,69.0,17.0
201990762,133.0,155.0,11.0
201990790,146.0,214.0,10.0
201990804,94.0,170.0,9.0
201910696,83.0,157.0,8.0
201991588,297.0,63.0,20.0
201910872,292.0,20.0,22.0
201990748,,,
201990497,111.0,105.0,12.0
201910024,175.0,41.0,19.0
201990727,464.0,904.0,8.0
201990720,59.0,13.0,20.0
201910015,6.0,18.0,6.0
201910509,533.0,619.0,11.0
