yop_kodu,year,program,tercih_sayisi
201410029,2022,Bilim Tarihi,3
201410029,2022,Çocuk Gelişimi (Fakülte),3
201410029,2022,Gazetecilik,5
201410029,2022,Halkla İlişkiler ve Tanıtım,4
201410029,2022,İktisat,1
201410029,2022,İlahiyat (M.T.O.K.),2
201410029,2022,İletişim ve Tasarımı,2
201410029,2022,İslami İlimler,1
201410029,2022,Kamu Yönetimi,1
201410029,2022,Okul Öncesi Öğretmenliği,1
201410029,2022,Özel Eğitim Öğretmenliği,1
201410029,2022,"Radyo, Televizyon ve Sinema",9
201410029,2022,Rehberlik ve Psikolojik Danışmanlık,1
201410029,2022,Sanat Tarihi,2
201410029,2022,Siyaset Bilimi ve Kamu Yönetimi,4
201410029,2022,Siyaset Bilimi ve Uluslararası İlişkiler,4
201410029,2022,Sosyal Bilgiler Öğretmenliği,3
201410029,2022,Sosyoloji,7
201410029,2022,Tarih,75
201410029,2022,Tarih Öğretmenliği,2
201410029,2022,Türk Dili ve Edebiyatı,5
201410029,2022,Uluslararası İlişkiler,5
201410029,2023,Felsefe,2
201410029,2023,Sanat Tarihi,2
201410029,2023,Siyaset Bilimi ve Uluslararası İlişkiler,1
201410029,2023,Sosyoloji,1
201410029,2023,Tarih,24
201410029,2023,Türk Dili ve Edebiyatı,1
201410029,2024,Bilim Tarihi,1
201410029,2024,Coğrafya,1
201410029,2024,Ekonomi,1
201410029,2024,Felsefe,3
201410029,2024,İktisat,5
201410029,2024,İslami İlimler,1
201410029,2024,Okul Öncesi Öğretmenliği,11
201410029,2024,Psikoloji,3
201410029,2024,Rehberlik Ve Psikolojik Danışmanlık,1
201410029,2024,Sanat Tarihi,4
201410029,2024,Tarih,66
201410029,2024,Tarih (açıköğretim),1
201410029,2024,Tarih Öğretmenliği,2
201410029,2024,Türk Dili Ve Edebiyatı,13
201410029,2024,Özel Eğitim Öğretmenliği,1
201410038,2022,Arkeoloji,1
201410038,2022,Bankacılık ve Sigortacılık (Fakülte),1
201410038,2022,Coğrafya,3
201410038,2022,Coğrafya (Açıköğretim),1
201410038,2022,Ekonomi ve Finans,1
201410038,2022,Felsefe,2
201410038,2022,Felsefe (Açıköğretim),2
201410038,2022,Gastronomi ve Mutfak Sanatları (Fakülte),7
201410038,2022,Gazetecilik,4
201410038,2022,İlahiyat (M.T.O.K.),1
201410038,2022,İşletme,1
201410038,2022,Kamu Yönetimi,2
201410038,2022,Klasik Arkeoloji,1
201410038,2022,Kültür Varlıklarını Koruma ve Onarım (Yüksekokul),1
201410038,2022,Lojistik Yönetimi (Fakülte),1
201410038,2022,Ön Lisans,17
201410038,2022,Psikoloji,18
201410038,2022,"Radyo, Televizyon ve Sinema",2
201410038,2022,Sağlık Yönetimi (Fakülte),3
201410038,2022,Sanat Tarihi,3
201410038,2022,Siyaset Bilimi ve Kamu Yönetimi,10
201410038,2022,Siyaset Bilimi ve Uluslararası İlişkiler,6
201410038,2022,Sosyal Bilgiler Öğretmenliği,1
201410038,2022,Sosyoloji,1
201410038,2022,Spor Yöneticiliği (Fakülte),1
201410038,2022,Tarih,104
201410038,2022,Tarih (Açıköğretim),5
201410038,2022,Tarih Öğretmenliği,1
201410038,2022,Türk Dili ve Edebiyatı,12
201410038,2022,Uluslararası Ticaret ve Finansman (Fakülte),1
201410038,2022,Yeni Medya ve İletişim,1
201410038,2023,Arkeoloji,3
201410038,2023,Bilgi ve Belge Yönetimi,1
201410038,2023,Bilim Tarihi,1
201410038,2023,Coğrafya,1
201410038,2023,Coğrafya (Açıköğretim),1
201410038,2023,Felsefe (Açıköğretim),2
201410038,2023,Finans ve Bankacılık (Fakülte),2
201410038,2023,Görsel İletişim Tasarımı,1
201410038,2023,İşletme,4
201410038,2023,Kamu Yönetimi (Açıköğretim),1
201410038,2023,Kıbrıs,1
201410038,2023,Kültür Varlıklarını Koruma ve Onarım (Fakülte),1
201410038,2023,Maliye (Açıköğretim),1
201410038,2023,Müzecilik,1
201410038,2023,Ön Lisans,57
201410038,2023,Protohistorya ve Ön Asya Arkeolojisi,1
201410038,2023,"Radyo, Televizyon ve Sinema",1
201410038,2023,Sanat Tarihi,11
201410038,2023,Siyaset Bilimi ve Kamu Yönetimi,1
201410038,2023,Siyaset Bilimi ve Kamu Yönetimi (Açıköğretim),1
201410038,2023,Siyaset Bilimi ve Uluslararası İlişkiler,1
201410038,2023,Tarih,55
201410038,2023,Tarih (Açıköğretim),3
201410038,2023,Tarih Öncesi Arkeolojisi,3
201410038,2023,Türk Dili ve Edebiyatı,6
201410038,2024,Arkeoloji,1
201410038,2024,Bilgi Ve Belge Yönetimi,2
201410038,2024,Bilim Tarihi,1
201410038,2024,Coğrafya,5
201410038,2024,Coğrafya (açıköğretim),1
201410038,2024,Coğrafya Öğretmenliği,2
201410038,2024,Ekonomi,1
201410038,2024,Felsefe,6
201410038,2024,Görsel İletişim Tasarımı,2
201410038,2024,Halkla İlişkiler Ve Reklamcılık,4
201410038,2024,Halkla İlişkiler Ve Tanıtım,1
201410038,2024,Havacılık Yönetimi,2
201410038,2024,Havacılık Yönetimi (yüksekokul),1
201410038,2024,İlahiyat,3
201410038,2024,İslami İlimler,3
201410038,2024,İşletme,2
201410038,2024,Lojistik Yönetimi,1
201410038,2024,Maliye,1
201410038,2024,Psikoloji,5
201410038,2024,Sanat Tarihi,8
201410038,2024,Siyaset Bilimi Ve Kamu Yönetimi,3
201410038,2024,Siyaset Bilimi Ve Uluslararası İlişkiler,7
201410038,2024,Sosyal Bilgiler Öğretmenliği,8
201410038,2024,Sosyoloji,2
201410038,2024,Tarih,113
201410038,2024,Tarih (açıköğretim),4
201410038,2024,Tarih Öğretmenliği,2
201410038,2024,Turizm İşletmeciliği,1
201410038,2024,Türk Dili Ve Edebiyatı,17
201410038,2024,Türk Dili Ve Edebiyatı (açıköğretim),1
201410038,2024,Türk Dili Ve Edebiyatı Öğretmenliği,1
201410038,2024,Türk İslam Arkeolojisi,1
201410038,2024,Türkçe Öğretmenliği,4
201410038,2024,Yönetim Bilişim Sistemleri,3
201410038,2024,Çağdaş Türk Lehçeleri Ve Edebiyatları,1
201410056,2022,Çağdaş Türk Lehçeleri ve Edebiyatları,1
201410056,2022,Çocuk Gelişimi (Fakülte),2
201410056,2022,Gastronomi ve Mutfak Sanatları (Fakülte),9
201410056,2022,Halkla İlişkiler ve Reklamcılık (Fakülte),3
201410056,2022,Halkla İlişkiler ve Tanıtım,2
201410056,2022,Havacılık Yönetimi (Fakülte),1
201410056,2022,İç Mimarlık ve Çevre Tasarımı,5
201410056,2022,İktisat,1
201410056,2022,İlahiyat,1
201410056,2022,İlahiyat (M.T.O.K.),2
201410056,2022,İletişim Tasarımı ve Yönetimi,1
201410056,2022,İşletme,4
201410056,2022,Lojistik Yönetimi (Fakülte),2
201410056,2022,Medya ve Görsel Sanatlar,1
201410056,2022,Muhasebe ve Finans Yönetimi (Fakülte),1
201410056,2022,Ön Lisans,34
201410056,2022,Psikoloji,1
201410056,2022,"Radyo, Televizyon ve Sinema",3
201410056,2022,Reklamcılık,2
201410056,2022,Sağlık Yönetimi (Fakülte),1
201410056,2022,Siyaset Bilimi ve Uluslararası İlişkiler,1
201410056,2022,Sosyal Hizmet (Fakülte),1
201410056,2022,Tarih,13
