lise_adi,sehir,lise_id
KANBER DEMİR ANADOLU LİSESİ (AKSARAY - MERKEZ),AKSARAY,58
KOCASİNAN 75.YIL CUMHURİYET ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,59
ABDULKADİR KONUKOĞLU FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),GAZİANTEP,60
MEVLÜDE-AHMET DOĞANAY FEN LİSESİ (YOZGAT - SORGUN),YOZGAT,61
MUZAFFER BEZİRCİLİOĞLU ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,62
NECİP FAZIL KISAKÜREK ANADOLU İMAM HATİP LİSESİ (BURSA - YILDIRIM),BURSA,63
NUH MEHMET KÜÇÜKÇALIK ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,64
NURİ NİHAT ASLANOBA ANADOLU LİSESİ (BURSA - YILDIRIM),BURSA,65
ÖZEL ALPASLAN KOLEJİ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,66
ÖZEL ALTINYILDIZ FEN LİSESİ (NEVŞEHİR - MERKEZ),NEVŞEHİR,67
ÖZEL BATI ANADOLU LİSESİ (SİVAS - MERKEZ),SİVAS,68
ÖZEL BİLGİKENT ANADOLU LİSESİ (MANİSA - TURGUTLU),MANİSA,69
ÖZEL ÇERKEZKÖY ÇÖZÜM AKADEMİ ANADOLU LİSESİ (TEKİRDAĞ - ÇERKEZKÖY),TEKİRDAĞ,70
ÖZEL ELİTSEN KOLEJİ ANADOLU LİSESİ (ERZURUM - AZİZİYE),ERZURUM,71
ÖZEL İSTEM KOLEJİ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,72
ÖZEL İZMİR DOKUZ EYLÜL KOLEJİ ANADOLU LİSESİ (İZMİR - GAZİEMİR),İZMİR,73
ÖZEL JALE TEZER FEN LİSESİ (ANKARA - ÇANKAYA),ANKARA,74
ÖZEL KAYSERİ YILDIZ ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,75
ÖZEL SOMA AÇI FEN LİSESİ (MANİSA - SOMA),MANİSA,76
PROF.DR.NECMETTİN ERBAKAN ANADOLU İMAM HATİP LİSESİ (ŞANLIURFA - HALİLİYE),ŞANLIURFA,77
AKMERCAN ANADOLU LİSESİ (MALATYA - YEŞİLYURT),MALATYA,78
SALİHLİ SEKİNE EVREN ANADOLU LİSESİ (MANİSA - SALİHLİ),MANİSA,79
SELAHATTİN AKBİLEK ANADOLU LİSESİ (ANKARA - SİNCAN),ANKARA,80
SELÇUKLU ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,81
SİLİFKE GÖKSU ANADOLU LİSESİ (MERSİN - SİLİFKE),MERSİN,82
ŞEHİT KEMAL TOSUN ANADOLU İMAM HATİP LİSESİ (NİĞDE - MERKEZ),NİĞDE,83
TENZİLE ERDOĞAN ANADOLU LİSESİ (ISPARTA - MERKEZ),ISPARTA,84
TEVFİK İLERİ ANADOLU İMAM HATİP LİSESİ (ANKARA - YENİMAHALLE),ANKARA,85
TOBB FEN LİSESİ (GAZİANTEP - ŞAHİNBEY),GAZİANTEP,86
TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (KARAMAN - MERKEZ),KARAMAN,87
ATATÜRK ANADOLU LİSESİ (NİĞDE - MERKEZ),NİĞDE,88
BAKİ-AYŞE SİMİTÇİOĞLU ANADOLU LİSESİ (KAYSERİ - HACILAR),KAYSERİ,89
BOĞAZLIYAN ANADOLU LİSESİ (YOZGAT - BOĞAZLIYAN),YOZGAT,90
MUSTAFA AYTEN AYDIN ANADOLU LİSESİ (ANTALYA - DÖŞEMEALTI),ANTALYA,91
ÖMER-EMİNE AKIN ANADOLU LİSESİ (KAYSERİ - YAHYALI),KAYSERİ,92
ÖZEL ENVAR FEN LİSESİ (ANTALYA - KEPEZ),ANTALYA,93
ÖZEL HATAY GÜNEŞ ANADOLU LİSESİ (HATAY - DEFNE),HATAY,94
ÖZEL KAYSERİ DOĞA FEN LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,95
ÖZEL KAYSERİ FEN BİLİMLERİ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,96
ÖZEL KONAKLAR CİHANGİR FEN LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,97
SADABAD ANADOLU LİSESİ (İSTANBUL - KAĞITHANE),İSTANBUL,98
ŞEHİT NURULLAH SABIRER FEN LİSESİ (AKSARAY - ORTAKÖY),AKSARAY,99
TED KAYSERİ KOLEJİ VAKFI ÖZEL LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,100
ULUSLARARASI PENDİK KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - PENDİK),İSTANBUL,101
YERKÖY ŞEHİT İDRİS AYDOĞDU FEN LİSESİ (YOZGAT - YERKÖY),YOZGAT,102
AYRANCI ANADOLU LİSESİ (ANKARA - ÇANKAYA),ANKARA,103
FETHİYE ÖMER ÖZYER ANADOLU LİSESİ (MUĞLA - FETHİYE),MUĞLA,104
KURTKÖY ANADOLU LİSESİ (İSTANBUL - PENDİK),İSTANBUL,105
MELİKGAZİ NECDET TAŞ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,106
MİDYAT ANADOLU LİSESİ (MARDİN - MİDYAT),MARDİN,107
DÖRTYOL FEN LİSESİ (HATAY - DÖRTYOL),HATAY,108
ERTUĞRULGAZİ ANADOLU LİSESİ (KOCAELİ - KARTEPE),KOCAELİ,109
ESENYURT NAKİPOĞLU CUMHURİYET ANADOLU LİSESİ (İSTANBUL - ESENYURT),İSTANBUL,110
FATİH ANADOLU LİSESİ (MANİSA - YUNUSEMRE),MANİSA,111
GÖLHİSAR MEHMET AKİF ERSOY ANADOLU LİSESİ (BURDUR - GÖLHİSAR),BURDUR,112
KASTAMONU ANADOLU İMAM HATİP LİSESİ (KASTAMONU - MERKEZ),KASTAMONU,113
KAYSERİ KIZ ANADOLU İMAM HATİP LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,114
KDZ. EREĞLİ ANADOLU LİSESİ (ZONGULDAK - EREĞLİ),ZONGULDAK,115
KEREM AYDINLAR FEN LİSESİ (MALATYA - ARAPGİR),MALATYA,116
KESTEL HASAN ASLANOBA ANADOLU LİSESİ (BURSA - KESTEL),BURSA,117
M.EMİN SARAÇ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAŞAKŞEHİR),İSTANBUL,118
MANİSA HASAN TÜREK ANADOLU LİSESİ (MANİSA - YUNUSEMRE),MANİSA,119
MEHMET AKİF ERSOY ANADOLU LİSESİ (KONYA - SELÇUKLU),KONYA,120
NEVŞEHİR FEVZİ DİRİKOÇ FEN LİSESİ (NEVŞEHİR - MERKEZ),NEVŞEHİR,121
OSMAN GAZİ FEN LİSESİ (KIRIKKALE - MERKEZ),KIRIKKALE,122
ÖZEL ATLAS ALTINOLUK KOLEJİ KIZ FEN LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,123
ÖZEL BURSA VENÜS KAMPÜS ANADOLU LİSESİ (BURSA - MUDANYA),BURSA,124
ÖZEL CANİK UĞUR ANADOLU LİSESİ (SAMSUN - CANİK),SAMSUN,125
ÖZEL CEBECİ FİNAL ANADOLU LİSESİ (ANKARA - MAMAK),ANKARA,126
ÖZEL ÇAYYOLU BEYTEPE ANADOLU LİSESİ (ANKARA - ÇANKAYA),ANKARA,127
ÖZEL ÇUKURAMBAR SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),ANKARA,128
ÖZEL İŞLEM ANADOLU LİSESİ (ANKARA - ÇANKAYA),ANKARA,129
ÖZEL NİĞDE FİNAL AKADEMİ ANADOLU LİSESİ (NİĞDE - MERKEZ),NİĞDE,130
ASELSAN MESLEKİ VE TEKNİK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),ANKARA,131
SAMİ YANGIN ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,132
SELAMİ DEĞER ANADOLU LİSESİ (SİİRT - MERKEZ),SİİRT,133
ŞEHİT FUAT BAHADIR BUHARALIOĞLU ANADOLU LİSESİ (YOZGAT - MERKEZ),YOZGAT,134
ŞEHİT NURİ PAMİR ANADOLU LİSESİ (NİĞDE - BOR),NİĞDE,135
ŞEHİT ÖMER HALİSDEMİR ANADOLU LİSESİ (ANKARA - ETİMESGUT),ANKARA,136
TORBALI ATATÜRK ANADOLU LİSESİ (İZMİR - TORBALI),İZMİR,137
YOZGAT ŞEHİTLER FEN LİSESİ (YOZGAT - MERKEZ),YOZGAT,138
BATMAN ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,139
BORSA İSTANBUL FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),ESKİŞEHİR,140
BÜNYAN ANADOLU LİSESİ (KAYSERİ - BÜNYAN),KAYSERİ,141
ÇANKIRI 15 TEMMUZ ŞEHİTLER ANADOLU LİSESİ (ÇANKIRI - MERKEZ),ÇANKIRI,142
DOĞAN CÜCELOĞLU FEN LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),İSTANBUL,143
OSMAN ULUBAŞ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,144
ÖZEL BAHÇEŞEHİR ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,145
ÖZEL ERENKÖY ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,146
ÖZEL SANKO KOLEJİ (GAZİANTEP - ŞEHİTKAMİL),GAZİANTEP,147
ÖZEL TEKDEN FEN LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,148
ÖZEL YENİŞEHİR DETAY FEN LİSESİ (MERSİN - YENİŞEHİR),MERSİN,149
SEYİDE DALOĞLU ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,150
ŞEHİT NURİ AYDIN SAĞIR ANADOLU LİSESİ (KAYSERİ - TALAS),KAYSERİ,151
TEVFİK İLERİ ANADOLU İMAM HATİP LİSESİ (KAYSERİ - HACILAR),KAYSERİ,152
YENİŞEHİR KIZ ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,153
DUMLUPINAR ANADOLU İMAM HATİP LİSESİ (MERSİN - YENİŞEHİR),MERSİN,154
ERKAN - VOLKAN YİĞİT ANADOLU İMAM HATİP LİSESİ (ANKARA - SİNCAN),ANKARA,155
KADİR HAS ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,156
KAYSERİ KİLİM SOSYAL BİLİMLER LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,157
MEHMET AKİF ERSOY SOSYAL BİLİMLER LİSESİ (MERSİN - YENİŞEHİR),MERSİN,158
ERDEMLİ BORSA İSTANBUL FEN LİSESİ (MERSİN - ERDEMLİ),MERSİN,159
GÖLBAŞI ANADOLU LİSESİ (ANKARA - GÖLBAŞI),ANKARA,160
GÖLHİSAR FEN LİSESİ (BURDUR - GÖLHİSAR),BURDUR,161
H. AHMET KANATLI ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),ESKİŞEHİR,162
KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),ANKARA,163
KIRIKKALE ATATÜRK ANADOLU LİSESİ (KIRIKKALE - MERKEZ),KIRIKKALE,164
15 TEMMUZ ŞEHİTLER FEN LİSESİ (SAKARYA - SERDİVAN),SAKARYA,165
KOCASİNAN ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,166
MEHMET AKİF ERSOY ANADOLU İMAM HATİP LİSESİ (ANKARA - GÖLBAŞI),ANKARA,167
ÖZEL BAĞLICA FİNAL AKADEMİ FEN LİSESİ (ANKARA - ETİMESGUT),ANKARA,168
ÖZEL DİLTAŞ ANADOLU LİSESİ (KONYA - MERAM),KONYA,169
ÖZEL ERYAMAN SINAV ANADOLU LİSESİ (ANKARA - ETİMESGUT),ANKARA,170
ÖZEL GAZİANTEP POZİTİF AYRINTI ANADOLU LİSESİ (GAZİANTEP - ŞAHİNBEY),GAZİANTEP,171
ÖZEL KAYSERİ FİNAL ANADOLU LİSESİ (KAYSERİ - TALAS),KAYSERİ,172
ÖZEL KAYSERİ FİNAL FEN LİSESİ (KAYSERİ - TALAS),KAYSERİ,173
ÖZEL KAYSERİ TEKDEN ANADOLU LİSESİ (KAYSERİ - TALAS),KAYSERİ,174
ÖZEL KEMALPAŞA ORGANİZE SANAYİ BÖLGESİ ZÜLFÜ-MEVLÜT ÇELİK MESLEKİ VE TEKNİK ANADOLU LİSESİ (İZMİR - KEMALPAŞA),İZMİR,175
ÖZEL KONYA FORMKAMPÜS ANADOLU LİSESİ (KONYA - SELÇUKLU),KONYA,176
RİZE TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (RİZE - MERKEZ),RİZE,177
SELÇUKLU FEN LİSESİ (KONYA - SELÇUKLU),KONYA,178
SIDDIK DEMİR ANADOLU LİSESİ (KIRŞEHİR - MERKEZ),KIRŞEHİR,179
ADIYAMAN ANADOLU İMAM-HATİP LİSESİ (ADIYAMAN - MERKEZ),ADIYAMAN,180
SOMUNCUBABA ANADOLU LİSESİ (AKSARAY - MERKEZ),AKSARAY,181
ŞEHİT VELİT BEKDAŞ ANADOLU LİSESİ (ANKARA - ETİMESGUT),ANKARA,182
TOKAT MİLLİ PİYANGO İHYA BALAK FEN LİSESİ (TOKAT - MERKEZ),TOKAT,183
YAKUTİYE ANADOLU İMAM HATİP LİSESİ (ERZURUM - YAKUTİYE),ERZURUM,184
ZONGULDAK BORSA İSTANBUL ANADOLU LİSESİ (ZONGULDAK - MERKEZ),ZONGULDAK,185
ALPTEKİN ANADOLU LİSESİ (AMASYA - MERKEZ),AMASYA,186
AZİZ ATİK FEN LİSESİ (SAMSUN - İLKADIM),SAMSUN,187
BÜNYAN FEN LİSESİ (KAYSERİ - BÜNYAN),KAYSERİ,188
ÇEAS ANADOLU LİSESİ (ADANA - ÇUKUROVA),ADANA,189
ÇORUM BELEDİYESİ PROF. DR. HAYREDDİN KARAMAN ANADOLU İMAM HATİP LİSESİ (ÇORUM - MERKEZ),ÇORUM,190
FATIMA ZEHRA KIZ ANADOLU İMAM HATİP LİSESİ (ADANA - SARIÇAM),ADANA,191
GAZİANTEP LİSESİ (GAZİANTEP - ŞAHİNBEY),GAZİANTEP,192
İBRAHİM ÖNAL FEN LİSESİ (BURSA - MUSTAFAKEMALPAŞA),BURSA,193
İSKELE KIZ ANADOLU İMAM HATİP LİSESİ (VAN - İPEKYOLU),VAN,194
KEŞAP FEN LİSESİ (GİRESUN - KEŞAP),GİRESUN,195
KIRŞEHİR AHİ EVRAN ANADOLU LİSESİ (KIRŞEHİR - MERKEZ),KIRŞEHİR,196
