yop_kodu,year,ortalama_tercih_edilme_sirasi_A,ortalama_yerlesen_tercih_sirasi_B,marka_etkinlik_degeri_A_div_B
201410029,2025,8.4,7.4,1.14
201410038,2025,6.8,1.6,4.25
201410056,2025,5.2,1.6,3.25
201410065,2025,9.0,6.0,1.5
201410135,2025,9.9,6.3,1.57
201410144,2025,10.2,7.0,1.46
201410171,2025,9.9,7.9,1.25
201410189,2025,7.6,3.1,2.45
201410205,2025,10.5,11.4,0.92
201410214,2025,9.9,1.6,6.19
201410232,2025,6.2,2.4,2.58
201410295,2025,9.0,7.6,1.18
201410453,2025,11.3,9.8,1.15
201410505,2025,4.3,3.2,1.34
201410532,2025,9.1,7.3,1.25
201410541,2025,5.7,1.2,4.75
201410577,2025,9.7,6.4,1.52
201410586,2025,4.9,2.4,2.04
201410611,2025,9.1,6.8,1.34
201410629,2025,4.8,2.3,2.09
201410656,2025,10.8,10.2,1.06
201410665,2025,7.7,4.5,1.71
201490082,2025,6.3,3.0,2.1
201490083,2025,6.1,7.3,0.84
201490091,2025,9.8,6.4,1.53
201490092,2025,6.2,2.2,2.82
201490093,2025,10.4,13.2,0.79
201490094,2025,7.6,2.4,3.17
201490095,2025,11.3,8.3,1.36
201490098,2025,10.1,6.6,1.53
201490099,2025,7.3,2.4,3.04
201490108,2025,7.9,4.2,1.88
201490136,2025,5.8,1.7,3.41
201490143,2025,6.7,2.2,3.05
201490157,2025,8.1,4.0,2.02
201490206,2025,6.5,1.6,4.06
201490213,2025,5.2,1.7,3.06
201490220,2025,9.5,5.8,1.64
201490227,2025,5.5,1.6,3.44
201490234,2025,8.7,7.3,1.19
201490241,2025,7.1,2.4,2.96
201490248,2025,9.0,2.8,3.21
201490255,2025,9.7,8.7,1.11
201490269,2025,6.6,2.2,3.0
201490276,2025,8.0,2.8,2.86
201490290,2025,6.2,1.8,3.44
201490297,2025,9.9,8.4,1.18
201490311,2025,8.1,2.6,3.12
201490318,2025,9.8,10.3,0.95
201490325,2025,6.3,2.6,2.42
201490332,2025,8.5,6.0,1.42
201490339,2025,5.8,3.1,1.87
