yop_kodu,year,il,tercih_sayisi
203211111,2025,ANKARA,1
203211111,2025,DÜZCE,1
203211111,2025,İSTANBUL,77
203211111,2025,KONYA,4
203211111,2025,SİİRT,1
203211095,2025,BİNGÖL,1
203211095,2025,GÜMÜŞHANE,1
203211095,2025,İSTANBUL,81
203211095,2025,ŞANLIURFA,1
203210979,2025,ANKARA,1
203210979,2025,ÇORUM,1
203210979,2025,ESKİŞEHİR,1
203210979,2025,İSTANBUL,350
203210979,2025,KOCAELİ,1
203210979,2025,TEKİRDAĞ,1
203210979,2025,TRABZON,1
203210952,2025,BURSA,4
203210952,2025,İSTANBUL,141
203210952,2025,KOCAELİ,1
203210952,2025,SAKARYA,1
203211459,2025,ANKARA,1
203211459,2025,İSTANBUL,23
203211459,2025,KIBRIS,5
203211403,2025,ADIYAMAN,1
203211403,2025,ANKARA,1
203211403,2025,ANTALYA,1
203211403,2025,ARDAHAN,1
203211403,2025,AYDIN,1
203211403,2025,BALIKESİR,2
203211403,2025,BATMAN,1
203211403,2025,BİTLİS,1
203211403,2025,BURSA,4
203211403,2025,ÇANAKKALE,2
203211403,2025,DÜZCE,2
203211403,2025,ERZURUM,1
203211403,2025,GAZİANTEP,2
203211403,2025,HATAY,1
203211403,2025,IĞDIR,1
203211403,2025,İSTANBUL,295
203211403,2025,KAHRAMANMARAŞ,1
203211403,2025,KARAMAN,1
203211403,2025,KOCAELİ,6
203211403,2025,KONYA,5
203211403,2025,MALATYA,1
203211403,2025,MARDİN,1
203211403,2025,MUĞLA,1
203211403,2025,OSMANİYE,1
203211403,2025,SAKARYA,3
203211403,2025,SAMSUN,2
203211403,2025,ŞANLIURFA,1
203211403,2025,TOKAT,1
203211403,2025,TRABZON,1
203211403,2025,VAN,1
203211403,2025,YALOVA,1
203211403,2025,YOZGAT,1
203211403,2025,ZONGULDAK,1
203210149,2025,AFYONKARAHİSAR,1
203210149,2025,ANKARA,3
203210149,2025,BOLU,1
203210149,2025,BURSA,2
203210149,2025,ÇANAKKALE,1
203210149,2025,DÜZCE,1
203210149,2025,EDİRNE,1
203210149,2025,ERZİNCAN,1
203210149,2025,ERZURUM,1
203210149,2025,ESKİŞEHİR,1
203210149,2025,ISPARTA,1
203210149,2025,İSTANBUL,124
203210149,2025,İZMİR,1
203210149,2025,KARABÜK,1
203210149,2025,KARS,1
203210149,2025,KAYSERİ,2
203210149,2025,KOCAELİ,1
203210149,2025,KONYA,1
203210149,2025,RİZE,1
203210149,2025,SAKARYA,3
203210149,2025,SAMSUN,1
203210149,2025,SİVAS,2
203210149,2025,TOKAT,2
203210149,2025,TRABZON,4
203210149,2025,ZONGULDAK,1
203211396,2025,İSTANBUL,22
203211156,2025,ADANA,2
203211156,2025,AFYONKARAHİSAR,5
203211156,2025,AKSARAY,4
203211156,2025,AMASYA,5
203211156,2025,ANTALYA,1
203211156,2025,BALIKESİR,7
203211156,2025,BARTIN,2
203211156,2025,BİLECİK,5
203211156,2025,BOLU,2
203211156,2025,BURDUR,1
203211156,2025,BURSA,5
203211156,2025,ÇANAKKALE,2
203211156,2025,ÇANKIRI,2
203211156,2025,ÇORUM,1
203211156,2025,DÜZCE,11
203211156,2025,EDİRNE,7
203211156,2025,ERZURUM,5
203211156,2025,ESKİŞEHİR,4
203211156,2025,GİRESUN,4
203211156,2025,HATAY,2
203211156,2025,ISPARTA,4
203211156,2025,İSTANBUL,224
203211156,2025,KAHRAMANMARAŞ,1
203211156,2025,KARABÜK,17
203211156,2025,KASTAMONU,2
203211156,2025,KAYSERİ,4
203211156,2025,KIRIKKALE,1
203211156,2025,KIRKLARELİ,8
203211156,2025,KIRŞEHİR,2
203211156,2025,KOCAELİ,7
203211156,2025,KONYA,9
203211156,2025,KÜTAHYA,4
203211156,2025,MALATYA,1
203211156,2025,NEVŞEHİR,1
203211156,2025,NİĞDE,2
203211156,2025,RİZE,1
203211156,2025,SAKARYA,15
203211156,2025,SAMSUN,2
203211156,2025,SİNOP,1
203211156,2025,SİVAS,5
203211156,2025,TEKİRDAĞ,8
203211156,2025,TOKAT,1
203211156,2025,TRABZON,4
203211156,2025,UŞAK,5
203211156,2025,YALOVA,3
203211156,2025,ZONGULDAK,2
203211138,2025,İSTANBUL,88
203211138,2025,KOCAELİ,1
203211138,2025,SAKARYA,1
203211417,2025,ANKARA,2
203211417,2025,BOLU,1
203211417,2025,BURSA,2
203211417,2025,ÇANAKKALE,2
203211417,2025,ERZURUM,1
203211417,2025,ESKİŞEHİR,1
203211417,2025,İSTANBUL,176
203211417,2025,KAYSERİ,4
203211417,2025,KOCAELİ,2
203211417,2025,MUĞLA,2
203211417,2025,SAKARYA,1
203211417,2025,TEKİRDAĞ,4
203210679,2025,ADIYAMAN,1
203210679,2025,AĞRI,1
203210679,2025,ANKARA,4
203210679,2025,AYDIN,1
203210679,2025,BALIKESİR,1
203210679,2025,BURSA,4
203210679,2025,EDİRNE,1
203210679,2025,ERZİNCAN,1
203210679,2025,IĞDIR,1
203210679,2025,İSTANBUL,57
203210679,2025,İZMİR,3
203210679,2025,KARABÜK,1
203210679,2025,KARS,1
203210679,2025,KAYSERİ,1
203210679,2025,KOCAELİ,4
203210679,2025,SAKARYA,6
203210679,2025,SAMSUN,1
203210679,2025,TRABZON,1
203210679,2025,YALOVA,1
203211303,2025,ARTVİN,1
203211303,2025,BİLECİK,1
203211303,2025,BOLU,1
203211303,2025,ÇORUM,2
203211303,2025,DÜZCE,1
203211303,2025,ERZURUM,3
203211303,2025,GİRESUN,1
203211303,2025,ISPARTA,1
203211303,2025,İSTANBUL,200
203211303,2025,KONYA,7
203211303,2025,ORDU,1
203211303,2025,SAMSUN,1
203211303,2025,SİNOP,1
203211303,2025,SİVAS,4
203211303,2025,TOKAT,1
203211303,2025,TRABZON,2
203211302,2025,ANKARA,2
203211302,2025,ESKİŞEHİR,1
203211302,2025,İSTANBUL,40
203211302,2025,İZMİR,1
203211302,2025,KOCAELİ,1
203211302,2025,KÜTAHYA,1
203211302,2025,SAKARYA,2
203211302,2025,SAMSUN,1
203211288,2025,ANKARA,1
203211288,2025,İSTANBUL,37
203211288,2025,KOCAELİ,6
203211288,2025,KONYA,17
203210113,2025,ANKARA,8
203210113,2025,BOLU,1
203210113,2025,BURSA,5
203210113,2025,DÜZCE,1
203210113,2025,EDİRNE,1
203210113,2025,ESKİŞEHİR,2
203210113,2025,İSTANBUL,111
203210113,2025,KIRKLARELİ,1
203210113,2025,KOCAELİ,13
203210113,2025,SAKARYA,5
203210113,2025,TRABZON,3
203210519,2025,ADANA,1
203210519,2025,AĞRI,1
203210519,2025,AMASYA,3
203210519,2025,ANKARA,11
203210519,2025,ANTALYA,6
203210519,2025,ARDAHAN,1
203210519,2025,ARTVİN,1
203210519,2025,AYDIN,1
203210519,2025,BALIKESİR,7
203210519,2025,BARTIN,3
203210519,2025,BAYBURT,2
203210519,2025,BİNGÖL,1
203210519,2025,BİTLİS,2
203210519,2025,BOLU,3
203210519,2025,BURDUR,2
203210519,2025,ÇANAKKALE,1
203210519,2025,ÇANKIRI,3
203210519,2025,ÇORUM,2
203210519,2025,DÜZCE,1
203210519,2025,EDİRNE,1
203210519,2025,ELAZIĞ,2
203210519,2025,ERZİNCAN,2
203210519,2025,GAZİANTEP,2
203210519,2025,GİRESUN,1
203210519,2025,GÜMÜŞHANE,3
203210519,2025,HATAY,1
203210519,2025,IĞDIR,2
203210519,2025,ISPARTA,1
203210519,2025,İSTANBUL,424
203210519,2025,KAHRAMANMARAŞ,4
203210519,2025,KARABÜK,4
203210519,2025,KASTAMONU,1
203210519,2025,KAYSERİ,3
203210519,2025,KIBRIS,3
203210519,2025,KIRIKKALE,1
203210519,2025,KIRKLARELİ,2
203210519,2025,KIRŞEHİR,1
203210519,2025,KOCAELİ,5
203210519,2025,KONYA,9
203210519,2025,KÜTAHYA,2
203210519,2025,MALATYA,2
203210519,2025,MANİSA,1
203210519,2025,MARDİN,1
203210519,2025,MERSİN,1
203210519,2025,MUĞLA,1
203210519,2025,NEVŞEHİR,1
203210519,2025,NİĞDE,1
203210519,2025,ORDU,1
203210519,2025,RİZE,3
203210519,2025,SAKARYA,3
203210519,2025,SAMSUN,2
203210519,2025,SİİRT,1
203210519,2025,SİNOP,1
203210519,2025,SİVAS,4
203210519,2025,ŞANLIURFA,1
203210519,2025,TEKİRDAĞ,2
203210519,2025,TOKAT,7
203210519,2025,TRABZON,3
203210519,2025,TUNCELİ,1
203210519,2025,YALOVA,2
203210519,2025,YOZGAT,3
203210519,2025,ZONGULDAK,5
203210388,2025,AĞRI,1
203210388,2025,ANKARA,8
203210388,2025,ÇANAKKALE,1
203210388,2025,ERZİNCAN,1
203210388,2025,ERZURUM,1
203210388,2025,GİRESUN,1
203210388,2025,İSTANBUL,145
203210388,2025,İZMİR,2
203210388,2025,KOCAELİ,1
203210388,2025,KONYA,1
203210388,2025,KÜTAHYA,1
203210388,2025,MALATYA,1
203210388,2025,MUĞLA,1
203210388,2025,SAKARYA,1
203211466,2025,AFYONKARAHİSAR,1
203211466,2025,AĞRI,1
203211466,2025,ANKARA,1
203211466,2025,BURSA,1
203211466,2025,GAZİANTEP,6
203211466,2025,İSTANBUL,187
203211466,2025,KAYSERİ,1
203211466,2025,KOCAELİ,1
203211466,2025,KONYA,1
203211466,2025,MERSİN,1
203211466,2025,MUŞ,2
203211466,2025,NEVŞEHİR,2
203211466,2025,SİİRT,1
203211466,2025,SİNOP,1
203211466,2025,ŞIRNAK,1
203211466,2025,TOKAT,1
203211466,2025,TRABZON,1
203210749,2025,ADANA,5
203210749,2025,AFYONKARAHİSAR,20
203210749,2025,AĞRI,1
203210749,2025,ANKARA,68
203210749,2025,ANTALYA,10
203210749,2025,AYDIN,1
203210749,2025,BALIKESİR,13
203210749,2025,BOLU,18
203210749,2025,BURSA,19
203210749,2025,ÇANAKKALE,7
203210749,2025,ÇANKIRI,26
203210749,2025,DENİZLİ,6
203210749,2025,DİYARBAKIR,20
203210749,2025,EDİRNE,1
203210749,2025,ERZİNCAN,34
203210749,2025,ERZURUM,20
203210749,2025,ESKİŞEHİR,16
203210749,2025,GAZİANTEP,24
203210749,2025,ISPARTA,19
203210749,2025,İSTANBUL,901
203210749,2025,İZMİR,23
203210749,2025,KARS,1
203210749,2025,KAYSERİ,13
203210749,2025,KIBRIS,34
203210749,2025,KIRIKKALE,12
203210749,2025,KIRKLARELİ,29
203210749,2025,KOCAELİ,25
203210749,2025,KONYA,36
203210749,2025,MALATYA,27
203210749,2025,MERSİN,2
203210749,2025,MUĞLA,1
203210749,2025,MUŞ,1
203210749,2025,NEVŞEHİR,1
203210749,2025,RİZE,28
203210749,2025,SAKARYA,31
203210749,2025,SAMSUN,13
203210749,2025,SİİRT,1
203210749,2025,SİVAS,21
203210749,2025,ŞANLIURFA,1
203210749,2025,TEKİRDAĞ,30
203210749,2025,TOKAT,25
203210749,2025,TRABZON,24
203210749,2025,VAN,1
203210749,2025,YALOVA,35
203210749,2025,YOZGAT,15
203210731,2025,AFYONKARAHİSAR,1
203210731,2025,ANKARA,28
203210731,2025,ANTALYA,3
203210731,2025,BOLU,2
203210731,2025,BURSA,7
203210731,2025,ERZİNCAN,1
203210731,2025,ERZURUM,1
203210731,2025,ESKİŞEHİR,11
203210731,2025,ISPARTA,1
203210731,2025,İSTANBUL,218
203210731,2025,İZMİR,14
203210731,2025,KAYSERİ,1
203210731,2025,KIRIKKALE,1
203210731,2025,KIRKLARELİ,2
203210731,2025,KOCAELİ,5
203210731,2025,KONYA,9
203210731,2025,SAKARYA,5
203210731,2025,SAMSUN,1
203210731,2025,YALOVA,4
203211487,2025,ANKARA,5
203211487,2025,ANTALYA,1
203211487,2025,İSTANBUL,110
203211487,2025,İZMİR,1
203211487,2025,KAYSERİ,1
203211487,2025,KIBRIS,12
203211487,2025,KONYA,2
203210273,2025,BURSA,1
203210273,2025,ÇANAKKALE,1
203210273,2025,EDİRNE,2
203210273,2025,İSTANBUL,95
203210273,2025,KOCAELİ,3
203210273,2025,KONYA,3
203210273,2025,SAKARYA,1
203210273,2025,TEKİRDAĞ,1
203210273,2025,TRABZON,2
203210264,2025,ANKARA,12
203210264,2025,ANTALYA,2
203210264,2025,BURSA,7
203210264,2025,DENİZLİ,1
203210264,2025,ESKİŞEHİR,2
203210264,2025,İSTANBUL,95
203210264,2025,İZMİR,3
203210264,2025,KAYSERİ,1
203210264,2025,KOCAELİ,5
203210264,2025,SAKARYA,5
203210264,2025,SAMSUN,1
203211300,2025,AFYONKARAHİSAR,2
203211300,2025,AĞRI,1
203211300,2025,AKSARAY,1
203211300,2025,AMASYA,1
203211300,2025,ANKARA,8
203211300,2025,AYDIN,1
203211300,2025,BALIKESİR,2
203211300,2025,BARTIN,3
203211300,2025,BİLECİK,2
203211300,2025,BİNGÖL,1
203211300,2025,BOLU,1
203211300,2025,BURDUR,1
203211300,2025,BURSA,3
203211300,2025,ÇANAKKALE,1
203211300,2025,EDİRNE,2
203211300,2025,ELAZIĞ,1
203211300,2025,ERZİNCAN,1
203211300,2025,ERZURUM,1
203211300,2025,İSTANBUL,218
203211300,2025,İZMİR,3
203211300,2025,KAHRAMANMARAŞ,1
203211300,2025,KARS,2
203211300,2025,KIRŞEHİR,1
203211300,2025,KİLİS,1
203211300,2025,KOCAELİ,3
203211300,2025,KONYA,2
203211300,2025,KÜTAHYA,1
203211300,2025,MALATYA,1
203211300,2025,MANİSA,1
203211300,2025,MUĞLA,1
203211300,2025,NEVŞEHİR,1
203211300,2025,NİĞDE,1
203211300,2025,RİZE,1
203211300,2025,SAMSUN,3
203211300,2025,SİİRT,1
203211300,2025,SİVAS,1
203211300,2025,TEKİRDAĞ,2
203211300,2025,TRABZON,1
203211300,2025,UŞAK,1
203211300,2025,YOZGAT,1
203211300,2025,ZONGULDAK,1
203211299,2025,ANKARA,1
203211299,2025,ERZURUM,1
203211299,2025,İSTANBUL,76
203211299,2025,TRABZON,1
203211438,2025,İSTANBUL,17
203210194,2025,AFYONKARAHİSAR,1
203210194,2025,ANKARA,5
203210194,2025,ANTALYA,6
203210194,2025,ARTVİN,2
203210194,2025,AYDIN,1
203210194,2025,BALIKESİR,10
203210194,2025,BARTIN,2
203210194,2025,BAYBURT,1
203210194,2025,BİLECİK,4
203210194,2025,BOLU,4
203210194,2025,BURSA,6
203210194,2025,ÇANAKKALE,3
203210194,2025,ÇANKIRI,1
203210194,2025,DENİZLİ,2
203210194,2025,DÜZCE,1
203210194,2025,EDİRNE,1
203210194,2025,ERZİNCAN,5
203210194,2025,ERZURUM,3
203210194,2025,ESKİŞEHİR,1
203210194,2025,GAZİANTEP,1
203210194,2025,GİRESUN,3
203210194,2025,HATAY,1
203210194,2025,İSTANBUL,248
203210194,2025,KARABÜK,1
203210194,2025,KARAMAN,1
203210194,2025,KARS,3
203210194,2025,KASTAMONU,2
203210194,2025,KAYSERİ,1
203210194,2025,KIRKLARELİ,1
203210194,2025,KIRŞEHİR,2
203210194,2025,KOCAELİ,3
203210194,2025,KONYA,4
203210194,2025,MERSİN,1
203210194,2025,MUĞLA,1
203210194,2025,MUŞ,1
203210194,2025,NEVŞEHİR,1
203210194,2025,ORDU,3
203210194,2025,RİZE,1
203210194,2025,SAKARYA,7
203210194,2025,SİNOP,2
203210194,2025,ŞANLIURFA,1
203210194,2025,TEKİRDAĞ,1
203210194,2025,TOKAT,1
203210194,2025,TRABZON,4
203210194,2025,UŞAK,1
203210194,2025,VAN,2
203210194,2025,YALOVA,2
203210194,2025,YOZGAT,1
203210185,2025,ANKARA,2
203210185,2025,BARTIN,1
203210185,2025,ÇANAKKALE,1
203210185,2025,DİYARBAKIR,1
203210185,2025,DÜZCE,2
203210185,2025,İSTANBUL,59
