yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
100310149,"13,1",70.0,"16,7",14.0,"43,8"
100310158,"21,4",825.0,"15,6",42.0,"17,1"
100310167,"34,6",885.0,"34,5",25.0,"33,8"
100310219,"25,2",161.0,"10,0",5.0,"7,9"
100310228,"39,1",241.0,"11,4",4.0,"7,5"
100310237,"21,1",242.0,"17,9",16.0,"25,0"
100310246,"38,5",369.0,"15,0",10.0,"16,1"
100310264,"33,4",176.0,"12,6",8.0,"19,5"
100310334,"14,6",109.0,"17,8",10.0,"23,8"
100310343,"25,5",177.0,"21,7",12.0,"37,5"
100310379,"15,8",104.0,"15,7",13.0,"31,0"
100310388,"13,4",63.0,"12,7",6.0,"16,2"
100310397,"16,1",111.0,"18,7",6.0,"16,2"
100310422,"11,2",112.0,"23,9",20.0,"47,6"
100310431,"20,2",97.0,"11,7",9.0,"22,0"
100310449,"30,3",153.0,"15,8",7.0,"21,9"
100310458,"11,7",41.0,"8,6",10.0,"24,4"
100310476,"27,9",131.0,"11,2",5.0,"12,2"
100310519,"24,6",179.0,"11,7",8.0,"12,9"
100310528,"19,5",302.0,"20,9",6.0,"8,2"
100310537,"18,3",189.0,"13,9",10.0,"13,9"
100310546,"28,9",78.0,"8,7",6.0,"19,4"
100310573,"25,7",308.0,"16,2",11.0,"15,3"
100310591,"11,2",62.0,"13,2",4.0,"9,5"
100310607,"36,9",345.0,"18,0",4.0,"7,7"
100310616,"14,3",128.0,"16,6",18.0,"33,3"
100310634,"20,9",138.0,"15,7",12.0,"28,6"
100310643,"14,4",94.0,"17,7",9.0,"25,0"
100310652,"24,0",297.0,"22,9",14.0,"26,9"
100310661,"8,3",118.0,"24,0",20.0,"33,9"
100310697,"13,6",145.0,"14,4",8.0,"10,8"
100310713,"35,9",203.0,"9,1",1.0,"1,6"
100310722,"22,9",194.0,"15,7",8.0,"15,1"
100310846,"26,2",382.0,"22,8",5.0,"7,8"
100310855,"23,8",173.0,"17,3",14.0,"33,3"
100310864,"16,4",217.0,"16,2",16.0,"19,5"
100310873,"14,7",143.0,"14,1",12.0,"17,9"
100310916,"16,5",22.0,"5,1",5.0,"19,2"
100310925,"12,1",66.0,"13,3",10.0,"24,4"
100310943,"30,3",1111.0,"17,5",37.0,"17,6"
100310952,"43,8",547.0,"14,9",10.0,"11,9"
100310961,"26,2",162.0,"21,3",6.0,"20,7"
100310979,"33,3",265.0,"24,8",7.0,"21,9"
100310997,"19,8",114.0,"13,7",6.0,"14,6"
100390138,"15,4",104.0,"16,1",7.0,"17,1"
100390139,"31,1",279.0,"17,3",14.0,"26,9"
100390177,"34,7",254.0,"17,9",8.0,"19,5"
100390222,"10,6",175.0,"21,0",25.0,"31,6"
100390223,"40,3",291.0,"12,9",9.0,"16,1"
100390224,"28,6",174.0,"16,4",11.0,"30,6"
100390229,"14,3",201.0,"17,9",11.0,"14,3"
100390230,"15,5",160.0,"13,9",9.0,"12,5"
100390390,"15,4",105.0,"10,6",7.0,"11,3"
100390397,"27,1",141.0,"16,3",9.0,"29,0"
100390404,"42,4",234.0,"13,1",7.0,"17,1"
100390411,"36,4",311.0,"15,8",9.0,"17,3"
100390418,"18,8",158.0,"15,6",4.0,"7,7"
100410015,"17,6",119.0,"15,3",13.0,"29,5"
100410024,"25,6",165.0,"13,7",9.0,"19,1"
100410033,"10,4",72.0,"16,8",30.0,"73,2"
100410042,"7,6",57.0,"14,4",27.0,"51,9"
100410069,"9,8",53.0,"12,8",12.0,"28,6"
100410078,"6,6",89.0,"19,5",26.0,"37,7"
100410103,"21,6",60.0,"10,3",2.0,"7,7"
100410112,"13,9",75.0,"10,0",6.0,"11,5"
100410121,"9,1",58.0,"15,1",13.0,"31,0"
100410139,"14,0",85.0,"19,0",18.0,"56,3"
100410148,"10,2",54.0,"16,5",14.0,"43,8"
100410157,"11,6",91.0,"18,6",19.0,"45,2"
100410166,"25,7",182.0,"11,1",9.0,"14,3"
100410175,"25,9",234.0,"14,1",20.0,"31,3"
100410184,"21,0",152.0,"17,3",10.0,"24,4"
100410193,"30,1",281.0,"14,6",11.0,"17,2"
100410218,"7,2",2.0,"2,5",1.0,"9,1"
100410236,"2,5",0.0,"0,0",0.0,"0,0"
100410324,"31,0",485.0,"21,2",19.0,"25,7"
100410493,"17,1",36.0,"6,8",1.0,"3,2"
100410563,"1,6",1.0,"12,5",1.0,"25,0"
100410572,"14,6",5.0,"2,0",0.0,"0,0"
100410599,"18,0",20.0,"5,3",1.0,"4,8"
100410615,"27,3",64.0,"4,5",2.0,"3,8"
100410624,"12,2",10.0,"3,9",3.0,"14,3"
100410633,"9,1",31.0,"6,6",10.0,"19,2"
100410651,"29,5",123.0,"7,5",3.0,"5,4"
100410669,"35,9",17.0,"6,8",0.0,"0,0"
100410678,"10,7",10.0,"4,4",6.0,"28,6"
100410687,"1,5",0.0,"0,0",0.0,"0,0"
100410696,"8,6",4.0,"4,2",1.0,"9,1"
100410712,"12,6",31.0,"5,2",3.0,"6,4"
100410784,"24,3",345.0,"35,5",15.0,"37,5"
100410809,"13,1",135.0,"19,1",8.0,"14,8"
